City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,thompson,55.7435,-97.8558,-4.91,93,100,3.6,CA,1701834700
122,at taj,24.2049,23.2857,11.07,72,0,2.78,LY,1701834700
123,visakhapatnam,17.69,83.2093,23.94,100,100,2.06,IN,1701834605
124,christchurch,-43.5333,172.6333,25.85,71,100,7.72,NZ,1701834457
125,college,64.8569,-147.8028,-17.53,81,100,1.54,US,1701834454
126,smithers,54.7804,-127.1743,3.18,87,100,2.06,CA,1701834701
127,illizi,26.4833,8.4667,9.89,23,23,0.95,DZ,1701834701
128,tanjung pandan,-2.75,107.65,31.13,62,96,1.61,ID,1701834447
129,yuzhno-kurilsk,44.0306,145.8556,7.43,84,78,2.36,RU,1701834701
130,isafjordur,66.0755,-23.124,-2.68,83,17,3.1,IS,1701834701
131,antofagasta,-23.65,-70.4,17.6,80,46,2.88,CL,1701834545
132,fada n'gourma,12.0622,0.3578,23.88,22,2,2.65,BF,1701834701
133,sur,22.5667,59.5289,24.75,39,0,3.61,OM,1701834702
134,new norfolk,-42.7826,147.0587,22.72,27,5,3.58,AU,1701834702
135,qaqortoq,60.7167,-46.0333,-1.86,77,100,4.67,GL,1701834702
136,hailar,49.2,119.7,-16.17,88,100,9.21,CN,1701834702
137,tazovsky,67.4667,78.7,-39.28,100,51,1.78,RU,1701834702
138,port douglas,-16.4833,145.4667,28.65,65,12,6.71,AU,1701834702
139,sydney,-33.8679,151.2073,30.31,64,20,6.69,AU,1701834074
140,idri,27.5,13.2667,11.2,58,22,2.38,LY,1701834703
141,souillac,-20.5167,57.5167,25.21,88,40,0.0,MU,1701834703
142,kauhava,63.103,23.0713,-8.64,100,100,1.34,FI,1701834703
143,forster,-32.1667,152.5167,27.94,62,3,7.41,AU,1701834703
144,solnechnyy,50.7214,136.6319,-9.43,90,100,3.46,RU,1701834703
145,bull savanna,17.8868,-77.5902,23.86,84,1,2.19,JM,1701834703
146,nuuk,64.1835,-51.7216,-1.66,43,20,3.6,GL,1701834520
147,butembo,0.15,29.2833,13.0,97,10,1.0,CD,1701834704
148,chonchi,-42.6128,-73.8092,12.56,91,2,2.05,CL,1701834704
149,fort st. john,56.2499,-120.8529,4.94,60,20,10.29,CA,1701834704
150,holualoa,19.6228,-155.9522,21.81,97,16,0.59,US,1701834409
151,undurkhaan,47.3194,110.6556,-14.68,83,80,2.27,MN,1701834704
152,geraldton,-28.7667,114.6,28.23,51,21,7.72,AU,1701834452
153,sabang,5.8933,95.3214,26.52,83,100,4.97,ID,1701834704
154,prince george,53.9166,-122.753,5.69,79,40,4.63,CA,1701834704
155,tolanaro,-25.0319,46.9987,25.04,78,20,4.12,MG,1701834705
156,corinto,37.9407,22.9573,12.16,78,100,2.2,GR,1701834705
157,pariaman,-0.619,100.12,26.03,87,100,1.1,ID,1701834705
158,moree,-29.4667,149.85,37.14,21,0,1.43,AU,1701834705
159,enewetak,11.3474,162.3373,27.84,75,52,8.17,MH,1701834705
160,fortuna,40.5982,-124.1573,15.51,92,0,7.2,US,1701834705
161,kukmor,56.1855,50.8944,-18.58,100,82,2.2,RU,1701834705
162,chernigovka,44.3389,132.5728,2.17,88,100,2.54,RU,1701834706
163,brookings,44.3114,-96.7984,-1.57,71,0,0.0,US,1701834548
164,bredasdorp,-34.5322,20.0403,16.74,82,53,6.5,ZA,1701834706
165,belel,7.05,14.4333,18.89,46,69,1.18,CM,1701834706
166,shenjiamen,29.9576,122.298,15.71,51,59,4.86,CN,1701834706
167,siderno,38.2779,16.302,10.19,68,16,7.67,IT,1701834706
168,kruisfontein,-34.0033,24.7314,16.6,77,92,4.71,ZA,1701834706
169,danshui,22.7984,114.4672,17.86,77,100,2.8,CN,1701834707
170,el granada,37.5027,-122.4694,15.75,86,0,0.45,US,1701834707
171,usinsk,65.9939,57.5281,-31.07,96,22,2.68,RU,1701834707
172,puerto leguizamo,-0.1934,-74.7819,24.4,81,96,1.02,CO,1701834707
173,alofi,-19.0595,-169.9187,28.94,70,75,6.17,NU,1701834707
174,brak,27.5496,14.2714,11.34,58,4,1.66,LY,1701834707
175,howard springs,-12.497,131.047,35.55,67,86,1.56,AU,1701834708
176,gantang,26.92,119.6333,21.17,58,47,0.45,CN,1701834708
177,turpan,42.9333,89.1667,5.7,33,6,0.47,CN,1701834708
178,vernon,50.2581,-119.2691,7.56,91,100,1.54,CA,1701834708
179,liaozhong,41.5061,122.7242,1.92,26,34,7.11,CN,1701834709
180,lata,40.1629,-8.3327,4.4,92,43,1.59,PT,1701834709
181,midvagur,62.0511,-7.1939,-2.54,93,30,1.03,FO,1701834709
182,saint croix,17.7397,-64.7388,26.25,82,0,3.6,VI,1701834709
183,richards bay,-28.783,32.0377,20.53,86,100,2.54,ZA,1701834710
184,la passe,45.5549,-0.8967,1.13,81,97,2.53,FR,1701834710
185,rio grande,-32.035,-52.0986,21.08,88,100,8.89,BR,1701834710
186,bhimunipatnam,17.8833,83.4333,23.73,94,100,2.74,IN,1701834710
187,tumayr,25.7039,45.868,14.43,26,3,2.49,SA,1701834710
188,constitucion,-35.3333,-72.4167,10.8,92,19,2.77,CL,1701834710
189,nabire,-3.3667,135.4833,30.63,62,38,2.82,ID,1701834710
190,hobyo,5.3505,48.5268,25.24,65,63,7.28,SO,1701834711
191,magnitka,55.3475,59.6961,-13.9,93,100,4.46,RU,1701834711
192,lugovoye,42.9094,72.7178,11.36,34,100,2.23,KZ,1701834711
193,saint-francois,46.4154,3.9054,4.69,82,100,3.6,FR,1701834711
194,havre,49.5833,0.3333,2.87,87,20,1.54,FR,1701834711
195,soio,-6.1349,12.3689,25.74,82,100,1.03,AO,1701834711
196,polyarnyy,69.1989,33.4478,-10.52,79,100,4.62,RU,1701834711
197,derzhavinsk,51.1,66.3167,-8.98,85,72,6.0,KZ,1701834712
198,tura,25.5198,90.2201,24.36,50,96,0.32,IN,1701834712
199,port-vila,-17.7338,168.3219,27.78,83,100,5.14,VU,1701834712
200,roma,43.2128,-75.4557,0.32,96,100,1.54,US,1701834468
201,colonia,50.9333,6.95,2.81,90,100,6.17,DE,1701834507
202,klyuchi,52.2667,79.1667,3.97,76,100,9.64,RU,1701834712
203,sos'va,59.1766,61.8558,-23.53,94,100,4.56,RU,1701834712
204,baissa,7.2333,10.6333,21.97,48,2,0.83,NG,1701834713
205,novomalorossiyskaya,45.6348,39.8948,0.57,83,93,7.83,RU,1701834713
206,el calafate,-50.3408,-72.2768,8.35,63,3,5.26,AR,1701834713
207,taupo,-38.6833,176.0833,16.84,78,77,2.2,NZ,1701834713
208,tual,-5.6667,132.75,29.01,71,64,2.56,ID,1701834713
